,FundingRate,LongPct,LongShortRatio,ShortPct,etf_flow_proxy,FundingRate_EMA3,FundingRate_Pct90d
2023-05-11,4.739458333333333e-05,,,,8989900.0,4.680104098363152e-05,0.5259259259259259
2023-05-12,3.554875e-05,,,,10309400.0,3.65691532950227e-05,0.3209876543209877
2023-05-13,3.326791666666667e-05,,,,10309400.0,3.2547292470831874e-05,0.3645833333333333
2023-05-14,2.8035416666666666e-05,,,,10309400.0,2.8438670616957095e-05,0.22098765432098766
2023-05-15,1.035625e-05,,,,6070800.0,1.1911964559873183e-05,0.20771604938271604
2023-05-16,5.50625e-05,,,,3403900.0,5.2566485222943494e-05,0.6121913580246914
2023-05-17,6.626333333333333e-05,,,,7985100.0,6.68086278477203e-05,0.7941358024691358
2023-05-18,9.516416666666666e-05,,,,9027900.0,9.355005424670146e-05,0.9532407407407407
2023-05-19,3.5950833333333335e-05,,,,6294500.0,3.784142995462145e-05,0.4087191358024691
2023-05-20,2.5006666666666666e-05,,,,6294500.0,2.6940258901726006e-05,0.3221450617283951
2023-05-21,5.456333333333333e-05,,,,6294500.0,5.2100357870425316e-05,0.6817901234567901
2023-05-22,2.5618333333333332e-05,,,,7539600.0,2.5765676060091926e-05,0.3283179012345679
2023-05-23,9.782083333333335e-05,,,,4509400.0,9.562684113881546e-05,0.9338734567901233
2023-05-24,5.7112500000000006e-05,,,,8394300.0,5.946903623581973e-05,0.5172067901234568
2023-05-25,8.4325e-05,,,,7247800.0,8.196851669161735e-05,0.8115740740740741
2023-05-26,8.388958333333333e-05,,,,6555500.0,8.597736989489297e-05,0.6935956790123456
2023-05-27,7.590291666666666e-05,,,,6555500.0,7.49103489620906e-05,0.6217592592592592
2023-05-28,9.850083333333334e-05,,,,6555500.0,9.740556293896928e-05,0.7986882716049383
2023-05-29,0.0001,,,,6555500.0,9.999999834928293e-05,0.828858024691358
2023-05-30,6.735833333333334e-05,,,,5987800.0,6.989942222093533e-05,0.4391203703703704
2023-05-31,5.087541666666667e-05,,,,5401600.0,4.840197586555315e-05,0.29290123456790124
2023-06-01,7.255e-05,,,,7235600.0,7.248303177783246e-05,0.4915895061728395
2023-06-02,7.778333333333333e-05,,,,4104600.0,7.780742405042738e-05,0.43634259259259256
2023-06-03,7.73925e-05,,,,4104600.0,7.920082856863284e-05,0.4810956790123457
2023-06-04,8.283333333333335e-05,,,,4104600.0,8.100026690746319e-05,0.6283179012345679
2023-06-05,9.131333333333332e-05,,,,11901200.0,9.220389337496561e-05,0.5473765432098766
2023-06-06,-2.4488749999999998e-05,,,,16512400.0,-2.2975413924347752e-05,0.07322530864197531
2023-06-07,8.001666666666667e-05,,,,5708400.0,8.01008971481772e-05,0.6212962962962963
