date,Tx_Fees_USD,Hash_Rate_THs,Network_Difficulty,Hash_Rate_14d_MA,Tx_Fees_Spike_Zscore
2025-02-28,540598.6735201897,857436275.8049003,110568428300952.53,793341258.9715072,-0.6915049182168002
2025-03-01,495829.89710352995,791479639.2045234,110568428300952.58,785015109.6553555,-0.7794101818430095
2025-03-02,490301.3693430699,692544684.3039575,110568428300952.67,773270575.8671435,-0.7789905732489378
2025-03-03,551904.4312006895,824457957.5047117,110568428300952.56,776623704.5463197,-0.6169870952117199
2025-03-04,445619.1520341299,802472411.9712528,110568428300952.58,777190304.4423506,-0.8508554571833802
2025-03-05,438945.1886964701,736515775.3708757,110568428300952.62,778721001.8199749,-0.8479883016943732
2025-03-06,472543.45773620997,934385685.1720064,110568428300952.5,792763753.9519109,-0.7493503671263909
2025-03-07,501654.24721587,780486866.4377937,110568428300952.6,796219110.8749883,-0.6684690121279989
2025-03-08,376286.9169784801,753004934.5209701,110568428300952.61,793657697.0824412,-0.9684921904598105
2025-03-09,373290.0623379,878012411.8108668,111085509723899.64,804334734.9990622,-0.9625964733593786
2025-03-10,431204.50711145,858547242.188255,112149504190348.52,814621664.4526933,-0.79572243736376
2025-03-11,491092.6905288198,769347528.7141508,112149504190348.58,811863002.3355173,-0.627653565322427
2025-03-12,434808.90392334,852972260.0961236,112149504190348.52,811151545.0432214,-0.7981977786679159
2025-03-13,473207.46943223,886422152.6489124,112149504190348.5,815577558.9820929,-0.6658594114996605
2025-03-14,454659.0312604201,791647457.0826768,112149504190348.56,810878357.6447912,-0.7073509454825248
2025-03-15,416697.2276046997,735897636.1613616,112149504190348.61,806908214.5702795,-0.8104685570315638
2025-03-16,358729.8846870399,808372403.3590714,112149504190348.55,815181623.0742162,-0.9810975998005236
2025-03-17,392245.8146355099,780497492.8984137,112149504190348.58,812041589.8880522,-0.858727412784403
2025-03-18,372948.26797878003,791647457.0826768,112149504190348.56,811268378.8245825,-0.9130406566997149
2025-03-19,446020.5903044902,847397278.0039921,112149504190348.53,819188486.1555194,-0.7503490072784978
2025-03-20,466676.7979762798,791647457.0826768,112149504190348.56,808992898.4348528,-0.6683407063778637
2025-03-21,425220.86285867996,808372403.3590714,112149504190348.55,810984722.5006584,-0.8572597698207589
2025-03-22,826774.3008118098,836247313.819729,112149504190348.53,816930606.7362841,1.1483742754412278
2025-03-23,506644.8404538101,876571559.8921037,113035968276012.02,816827688.7420868,-0.4327494705013332
2025-03-24,540511.0579619901,870857131.0489082,113757508810854.0,817706966.5178478,-0.2414915969565883
2025-03-25,1154144.70473723,842582548.8719956,113757508810854.0,822938039.386265,2.811980948898927
