date,unconfirmed_count,mempool_size,avg_block_size,BTC_DVOL_Open,BTC_DVOL_Close
2025-06-22 00:00:00,265236.0,,1.4165525140186914,41.01,41.75
2025-06-22 04:45:00,,2185030.0,,,
2025-06-22 10:30:00,,2291659.0,,,
2025-06-22 16:15:00,,2616920.0,,,
2025-06-22 22:00:00,,262069.5,,,
2025-06-23 00:00:00,290473.0,,1.4573127757009348,41.75,39.86
2025-06-23 03:45:00,,1368628.0,,,
2025-06-23 09:30:00,,4492045.0,,,
2025-06-23 15:15:00,,8014383.0,,,
2025-06-23 21:00:00,,17444893.5,,,
2025-06-24 00:00:00,278954.0,,1.4779475299145297,39.87,39.05
2025-06-24 02:45:00,,18434911.5,,,
2025-06-24 08:30:00,,13191459.0,,,
2025-06-24 14:15:00,,9956689.0,,,
2025-06-24 20:00:00,,15741565.0,,,
2025-06-25 00:00:00,387755.0,,1.5909058741258748,39.04,38.4
2025-06-25 01:45:00,,9024608.5,,,
2025-06-25 07:30:00,,5868224.5,,,
2025-06-25 13:15:00,,7049198.0,,,
2025-06-25 19:00:00,,5564427.0,,,
2025-06-26 00:00:00,504180.0,,1.5343019426751594,38.4,38.25
2025-06-26 00:45:00,,6400148.0,,,
2025-06-26 06:30:00,,5786642.0,,,
2025-06-26 12:15:00,,11825712.0,,,
2025-06-26 18:00:00,,13048211.0,,,
2025-06-26 23:45:00,,13913711.5,,,
2025-06-27 00:00:00,335253.0,,1.5837053130434784,38.25,38.1
2025-06-27 05:30:00,,14048295.0,,,
2025-06-27 11:15:00,,15616050.0,,,
2025-06-27 17:00:00,,15413958.5,,,
2025-06-27 22:45:00,,14205345.5,,,
2025-06-28 00:00:00,388808.0,,1.7144309241379314,38.1,37.71
2025-06-28 04:30:00,,11103709.0,,,
2025-06-28 10:15:00,,2973208.0,,,
2025-06-28 16:00:00,,3966576.0,,,
2025-06-28 21:45:00,,4334932.5,,,
2025-06-29 00:00:00,380468.0,,1.3041026331360948,37.71,39.34
2025-06-29 03:30:00,,736107.0,,,
2025-06-29 09:15:00,,2206285.0,,,
2025-06-29 15:00:00,,2201934.5,,,
2025-06-29 20:45:00,,147057.0,,,
2025-06-30 00:00:00,339091.0,,1.3772262551724137,39.34,37.74
2025-06-30 02:30:00,,1334052.5,,,
2025-06-30 08:15:00,,2519652.5,,,
2025-06-30 14:00:00,,1872827.5,,,
2025-06-30 19:45:00,,3160124.5,,,
2025-07-01 00:00:00,325422.0,,1.4705840149253733,37.14,37.61
2025-07-01 01:30:00,,2512311.5,,,
2025-07-01 07:15:00,,2170600.0,,,
2025-07-01 13:00:00,,3125885.5,,,
2025-07-01 18:45:00,,3539462.5,,,
