Date,M2_Raw,TGA_Raw,RRP_Raw,Fed_Net_Liquidity,Fed_Net_Liq_90d_MA,Fed_Net_Liq_90d_Std,Fed_Liq_ZScore,Fed_Liq_Pct30d,Stablecoins_Total_MCap,Stablecoins_Delta_30d,Stablecoins_PctChange_14d
2018-10-26,,,,,,,,,255838917.0,217563018.0,3.1511209956294275
2018-10-27,,,,,,,,,268073028.0,227687514.0,2.8783031808685653
2018-10-28,,,,,,,,,268189373.0,225826078.0,2.735798812158348
2018-10-29,,,,,,,,,268164562.0,224864240.0,2.735453202251096
2018-10-30,,,,,,,,,267137588.0,223837016.0,1.8108842833069487
2018-10-31,,,,,,,,,274727560.0,231426699.0,1.509545409710837
2018-11-01,,,,,,,,,271779520.0,226473707.0,1.22040364522655
2018-11-02,,,,,,,,,268490366.0,223184598.0,1.198057957164445
2018-11-03,,,,,,,,,291354431.0,234630115.0,1.147336918929775
2018-11-04,,,,,,,,,293276387.0,235386817.0,1.081395600039579
2018-11-05,,,,,,,,,293251387.0,232181233.0,1.0812181739244617
2018-11-06,,,,,,,,,297472857.0,236402703.0,0.9716110290783488
2018-11-07,,,,,,,,,296986879.0,235916725.0,0.370521771091026
2018-11-08,,,,,,,,,296755347.0,236683786.0,0.15727617312297815
2018-11-09,,,,,,,,,297261417.0,235823373.0,0.16190851839792608
2018-11-10,,,,,,,,,295918476.0,234672201.0,0.10387262085911897
2018-11-11,,,,,,,,,295918476.0,234287192.0,0.10339374259993517
2018-11-12,,,,,,,,,295232852.0,226111637.0,0.10093910171471498
2018-11-13,,,,,,,,,291339505.0,219550475.0,0.09059719817489698
2018-11-14,,,,,,,,,296246289.0,224457259.0,0.07832752200034099
2018-11-15,,,,,,,,,298163464.0,203126614.0,0.09707848479532233
2018-11-16,,,,,,,,,299075736.0,189602698.0,0.11391607995349817
2018-11-17,,,,,,,,,302114948.0,179713996.0,0.036932738462453596
2018-11-18,,,,,,,,,303137797.0,180988895.0,0.03362497097320016
2018-11-19,,,,,,,,,303336995.0,167655245.0,0.03439236248181832
