timestamp,MVRV_V10,MVRV_Pct6m,ExchangeFlow_V10,OBV_Momentum,STH_SOPR,FearGreed_Normalized,Hashrate_7dMA,Hashrate_Chg30d,ActiveAddresses_7d,Puell_Multiple
2024-07-02,0.3618599742301494,0.03217592592592593,-0.022089527720614902,-28769.0516725583,0.9475380321124862,0.51,584266813.8987602,0.07399114511183913,472695.5714285714,0.7939780189606715
2024-07-03,0.17522558167173108,0.0011574074074074073,-0.022101574374522842,-28727.762243046658,0.919146410647856,0.5,596722739.1171774,-0.08442281789340222,472695.5714285714,0.7694820932531472
2024-07-04,-0.12832006462428489,0.0002314814814814815,-0.022019931438222902,-28560.611265203916,0.8722948109683287,0.44,596722739.1171774,-0.08442281789340222,474332.85714285716,0.7400358693164615
2024-07-05,-0.17573538416295337,0.004861111111111111,-0.022263123296888204,-28803.254470965592,0.8676718358993919,0.29,596722739.1171774,-0.08442281789340222,474332.85714285716,0.7079444489902779
2024-07-06,-0.031226374871324306,0.013194444444444444,-0.0218855910691891,-28248.706606894033,0.8940808371823952,0.26,596722739.1171774,-0.08442281789340222,474332.85714285716,0.7251289217367564
2024-07-07,-0.26501957889928246,0.0025462962962962965,-0.021408143012024674,-27572.899590239394,0.8596844647902779,0.29,585361629.8912256,-0.13339989717988343,474332.85714285716,0.728321948166421
2024-07-08,-0.19000575050531315,0.009953703703703704,-0.022324289139756783,-28686.62929075188,0.8749454202136904,0.28,585361629.8912256,-0.13339989717988343,483158.4285714286,0.7147841554399695
2024-07-09,-0.06857589539483602,0.026157407407407407,-0.02269135917810666,-29089.739208698506,0.8973642854139074,0.27,585361629.8912256,-0.13339989717988343,483158.4285714286,0.7301260776322657
2024-07-10,-0.10743020109319432,0.023842592592592592,-0.021795031927094137,-27872.535806960426,0.8942459174963581,0.28,585361629.8912256,-0.13339989717988343,483158.4285714286,0.7384542846273708
2024-07-11,-0.1527007707353175,0.015046296296296295,-0.02106782914151299,-26886.080086799804,0.8900330686754703,0.29,578192076.7068956,-0.12341248464738241,483158.4285714286,0.7362553488800297
2024-07-12,-0.10658188955060442,0.030555555555555555,-0.019463545788463925,-24790.024727730546,0.8999513510484787,0.25,578192076.7068956,-0.12341248464738241,484615.5714285714,0.7309008500937733
2024-07-13,0.01493106335021223,0.05277777777777778,-0.01858644719005071,-23634.576126224594,0.9213105983436206,0.25,578192076.7068956,-0.12341248464738241,484615.5714285714,0.743218557629233
2024-07-14,0.16506349994010308,0.061342592592592594,-0.018081936532281965,-22962.07665662747,0.9469089377508486,0.33,578192076.7068956,-0.12341248464738241,484615.5714285714,0.763682131160315
2024-07-15,0.5491803744858375,0.1224537037037037,-0.015354263304399573,-19478.57163263741,1.0080674515341759,0.52,581334001.543592,-0.007639312993446445,484615.5714285714,0.8004410184892573
2024-07-16,0.5740846142627632,0.12824074074074074,-0.012900957020943639,-16346.923862329917,1.012748168439325,0.65,581334001.543592,-0.007639312993446445,485752.71428571426,0.8157350824208134
2024-07-17,0.4694063582287169,0.12037037037037036,-0.010169619462532767,-12871.775165278465,0.9974235650878244,0.69,581334001.543592,-0.007639312993446445,485752.71428571426,0.8260204546959403
2024-07-18,0.4512672385392424,0.12060185185185185,-0.0075854765073514125,-9591.006594032282,0.9957782544988153,0.61,581334001.543592,-0.007639312993446445,485752.71428571426,0.81769166644165
2024-07-19,0.7176551244390396,0.1726851851851852,-0.004743449190773956,-5993.64504262968,1.0371979819958603,0.6,583794513.3323238,0.19727177906469584,485752.71428571426,0.8274938090623531
2024-07-20,0.7591883538139745,0.18680555555555556,-0.0014245109522057053,-1799.3452083636075,1.044333616401372,0.74,583794513.3323238,0.19727177906469584,484075.85714285716,0.8482539182042388
2024-07-21,0.8577227321331602,0.2324074074074074,0.001653127505092281,2088.0395275729243,1.0600721290928625,0.74,583794513.3323238,0.19727177906469584,484075.85714285716,0.8533418103104928
2024-07-22,0.7839766588101073,0.2011574074074074,0.0039376814965080284,4973.91348370607,1.0500209878740334,0.7,583794513.3323238,0.19727177906469584,484075.85714285716,0.8579000517358143
2024-07-23,0.6090794154464467,0.14652777777777778,0.006089581829492463,7690.880687087309,1.0250550672779888,0.71,608581002.4201413,0.2513230096594534,484075.85714285716,0.8447025906443837
2024-07-24,0.5420467265949799,0.13657407407407407,0.007776993851799243,9822.566985485842,1.0160268683908231,0.69,608581002.4201413,0.2513230096594534,485288.71428571426,0.838101949550294
2024-07-25,0.5799948250498159,0.14791666666666667,0.009518610615698876,12018.985178234056,1.0225244979573342,0.68,608581002.4201413,0.2513230096594534,485288.71428571426,0.8203481032863863
2024-07-26,0.7970613874078867,0.2263888888888889,0.011145685944744603,14075.120335027808,1.054513050772089,0.68,608581002.4201413,0.2513230096594534,485288.71428571426,0.8538069687692093
2024-07-27,0.7872520158987113,0.2238425925925926,0.011526388770014738,14558.388388505904,1.0535040118726786,0.72,605018437.8487868,0.0555594474541774,485288.71428571426,0.8656494167347313
2024-07-28,0.8173970357801911,0.24351851851851852,0.010934434157940516,13811.065349717857,1.0580659056227566,0.71,605018437.8487868,0.0555594474541774,480426.28571428574,0.8597712233135696
2024-07-29,0.6498089903048543,0.17314814814814813,0.009821181533458683,12405.258762324695,1.0341336636152725,0.74,605018437.8487868,0.0555594474541774,480426.28571428574,0.8687756165688525
2024-07-30,0.5772478714530546,0.1476851851851852,0.008823866224991353,11142.569978370564,1.023472115940806,0.67,605018437.8487868,0.0555594474541774,480426.28571428574,0.8409457771292368
2024-07-31,0.3978316482387991,0.1099537037037037,0.0077456848125823,9777.616563479882,0.9980409823939965,0.61,606459237.2446913,0.002682723240661211,480426.28571428574,0.8356840339266522
2024-08-01,0.4707082547043113,0.13518518518518519,0.006416858639697152,8096.918943422148,1.0086445143768716,0.52,606459237.2446913,0.002682723240661211,489370.5714285714,0.8129775240513658
2024-08-02,0.03000723562683562,0.05416666666666667,0.0037407835521150803,4719.962607051013,0.9490907771427513,0.57,606459237.2446913,0.002682723240661211,489370.5714285714,0.807328028894696
2024-08-03,-0.07110543629576839,0.04189814814814815,0.0008070302461925322,1018.2358919200487,0.9371347948943612,0.37,606459237.2446913,0.002682723240661211,489370.5714285714,0.7758269344545629
2024-08-04,-0.373583114030121,0.001388888888888889,-0.0014767697646289862,-1863.594953369582,0.898571230518331,0.34,618932874.1154372,0.006257449968081419,489370.5714285714,0.7585559304390187
2024-08-05,-0.8650771064413094,0.0032407407407407406,-0.007523761903756145,-9483.05674879835,0.8360284212884458,0.26,618932874.1154372,0.006257449968081419,494749.4285714286,0.6756159527381076
